
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 50.908 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Cynodesmus_thooides	33.253	23.28	
Cynodictis	50.908	29.328	
Cynodictis_lacustris	36.202	34.051	
Cynotherium	0.94	0.014	
Cynotherium_sardous	1.272	0.063	
Desmocyon	23.723	23.723	
Desmocyon_matthewi	19.429	16.402	
Desmocyon_thomsoni	24.31	12.865	
Dusicyon	1.966	0.008	
Dusicyon_avus	0.735	0.032	
Dusicyon_culpaeus	1.875	1.875	
Dusicyon_sechurae	0.356	0.356	
Ectopocynus_antiquus	33.21	27.112	
Ectopocynus_intermedius	28.176	28.176	
Ectopocynus_simplicidens	20.224	18.803	
Enhydrocyon	33.038	20.836	
Enhydrocyon_basilatus	20.57	20.57	
Enhydrocyon_crassidens	28.768	20.682	
Enhydrocyon_pahinsintewakpa	29.469	23.466	
Enhydrocyon_stenocephalus	29.131	26.53	
Epicyon	11.946	6.153	
Epicyon_aelurodontoides	9.602	9.602	
Epicyon_haydeni	20.039	4.967	
Epicyon_saevus	18.232	5.374	
Eucyon	9.86	3.146	
Eucyon_davisi	11.401	1.904	
Eucyon_skinneri	11.291	11.291	
Euoplocyon_brachygnathus	17.43	14.476	
Euoplocyon_spissidens	18.283	18.283	
Gobicyon	12.504	7.597	
Hesperocyon	44.87	29.482	
Hesperocyon_coloradensis	33.86	33.828	
Hesperocyon_gregarius	37.662	31.196	
Hesperocyoninae	28.952	21.302	
Leptocyon	24.571	7.555	
Leptocyon_delicatus	24.0	24.0	
Leptocyon_douglassi	28.378	20.794	
Leptocyon_gregorii	23.395	21.625	
Leptocyon_leidyi	20.497	13.888	
Leptocyon_matthewi	13.457	5.439	
Leptocyon_mollis	20.589	20.589	
Leptocyon_tejonensis	12.838	12.838	
Leptocyon_vafer	22.981	5.384	
Leptocyon_vulpinus	21.889	16.451	
Lycaon	3.058	0.505	
Lycaon_pictus	2.435	0.008	
Mesocyon	22.603	22.603	
Mesocyon_brachyops	24.592	22.322	
Mesocyon_coryphaeus	22.843	21.3	
Mesocyon_temnodon	33.653	20.47	
Metalopex_bakeri	7.723	7.723	
Metalopex_macconnelli	16.032	6.685	
Metalopex_merriami	21.425	6.018	
Metatomarctus	10.541	10.541	
Metatomarctus_canavus	20.254	15.984	
Microtomarctus_conferta	21.943	9.762	
Neovulpavus_washakius	45.24	45.24	
Nyctereutes	6.484	1.282	
Nyctereutes_abdeslami	3.488	3.153	
Nyctereutes_procyonoides	1.735	0.015	
Osbornodon_brachypus	24.211	16.167	
Osbornodon_fricki	20.29	13.732	
Osbornodon_iamonensis	21.461	17.811	
Osbornodon_renjiei	33.897	32.788	
Osbornodon_scitulus	19.134	16.736	
Osbornodon_sesnoni	31.799	29.314	
Osbornodon_wangi	21.532	21.532	
Otarocyon_cooki	29.87	20.886	
Otarocyon_macdonaldi	33.61	33.306	
Otocyon	2.778	0.183	
Otocyon_megalotis	1.459	0.003	
Oxetocyon	32.242	31.408	
Oxetocyon_cuspidatus	33.081	31.362	
Paracynarctus_kelloggi	19.969	9.277	
Paracynarctus_sinclairi	19.962	13.831	
Paraenhydrocyon_josephi	29.792	21.635	
Paraenhydrocyon_robustus	24.233	23.254	
Paraenhydrocyon_wallovianus	25.948	20.929	
Paratomarctus_euthos	21.464	10.564	
Paratomarctus_temerarius	18.044	7.696	
Philotrox_condoni	30.724	22.884	
Phlaocyon	27.645	16.175	
Phlaocyon_achoros	21.372	21.372	
Phlaocyon_annectens	24.754	21.045	
Phlaocyon_latidens	31.116	25.125	
Phlaocyon_leucosteus	21.584	16.055	
Phlaocyon_mariae	20.146	20.146	
Phlaocyon_marslandensis	19.59	16.105	
Phlaocyon_minor	25.068	18.861	
Phlaocyon_multicuspus	21.165	21.165	
Phlaocyon_taylori	30.729	24.211	
Phlaocyon_yatkolai	18.814	18.814	
Protemnocyon_inflatus	33.661	33.661	
Protepicyon_raki	15.451	13.924	
Protocyon	1.557	0.036	
Protocyon_orcesi	0.411	0.411	
Protocyon_tarijensis	1.275	1.275	
Protocyon_troglodytes	0.84	0.01	
Protomarctus_optatus	20.462	14.154	
Psalidocyon_marianae	18.499	13.757	
Pseudalopex_gymnocercus	1.611	0.008	extant
Rhizocyon_oregonensis	25.481	20.948	
Speothos	0.643	0.643	
Speothos_venaticus	0.005	0.005	
Sunkahetanka_geringensis	30.644	22.068	
Tephrocyon_rurestris	22.281	15.164	
Theriodictis	2.574	0.061	
Theriodictis_floridanus	3.547	2.73	
Tomarctus	19.51	11.01	
Tomarctus_brevirostris	20.23	8.189	
Tomarctus_hippophaga	20.425	13.647	
Urocyon	11.168	0.031	
Urocyon_cinereoargenteus	4.181	0.008	
Urocyon_citrinus	4.241	4.241	
Urocyon_galushai	4.228	2.073	
Urocyon_minicephalus	0.958	0.48	
Urocyon_progressus	4.3	4.3	
Urocyon_webbi	6.502	6.502	
Vulpes	8.445	0.004	
Vulpes_cascadensis	0.055	0.055	
Vulpes_chama	2.348	0.004	
Vulpes_kernensis	10.914	10.914	
Vulpes_mathisoni	4.821	4.821	
Vulpes_stenognathus	14.246	1.129	
Vulpes_velox	2.589	0.026	
Vulpes_vulpes	3.172	0.01	
Vulpes_vulpes_macroura	0.072	0.072	
Vulpini	0.048	0.048	
Xenocyon	1.853	0.07	
Xenocyon_lycaonoides	2.494	0.308	
Xenocyon_texanus	0.673	0.673	
